,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
القائمة الرئيسية   Main List,,,,,,,,,,,,,,,,,,,,,,,القطاع الخارجي       External Sector,,القائمة الرئيسية   Main List,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,القطاع الخارجي       External Sector,,القائمة الرئيسية   Main List,,,,,,,,,,القطاع الخارجي       External Sector,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 1: Balance of Payments,,,,,,,,,,,,,,,,,,,,,,,جدول 1: ميـزان المدفـوعــات,,Contd. 4 table 1: Balance of Payments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,تابع 4 جدول 1: ميـزان المدفـوعــات,,Contd.4 Table 1: Balance of Payments,,,,,,,,,,تابع 4 جدول 1: ميـزان المدفـوعــات,,,,,,,,,,,,,,,,,,,,,
(Million ﷼),,,,,,,,,,,,,,,,,,,,,,,(مليون ﷼),,(Million ﷼),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(مليون ﷼),,(Million ﷼),,,,,,,,,,(مليون ﷼),,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2005-12-01T00:00:00,2006-12-31T00:00:00,2007-12-31T00:00:00,2008-12-31T00:00:00,2009-12-31T00:00:00,2010-12-31T00:00:00,2011-12-31T00:00:00,2012-12-31T00:00:00,2013-12-31T00:00:00,2014-12-31T00:00:00,2015-12-31T00:00:00,2016-12-31T00:00:00,2017-12-31T00:00:00,2018-12-31T00:00:00,2019-12-31T00:00:00,2020-12-31T00:00:00,2021-12-31T00:00:00,2022-12-31T00:00:00,2023-12-31T00:00:00,2024-12-31T00:00:00,2025-12-31T00:00:00,,,,,Q1 2006,Q2 2006,Q3 2006,Q4 2006,Q1 2007,Q2 2007,Q3 2007,Q4 2007,Q1 2008,Q2 2008,Q3 2008,Q4 2008,Q1 2009,Q2 2009,Q3 2009,Q4 2009,Q1 2010,Q2 2010,Q3 2010,Q4 2010,Q1 2011,Q2 2011,Q3 2011,Q4 2011,Q1 2012,Q2 2012,Q3 2012,Q4 2012,Q1 2013,Q2 2013,Q3 2013,Q4 2013,Q1 2014,Q2 2014,Q3 2014,Q4 2014,Q1 2015,Q2 2015,Q3 2015,Q4 2015,Q1 2016,Q2 2016,Q3 2016,Q4 2016,Q1 2017,Q2 2017,Q3 2017,Q4 2017,Q1 2018,Q2 2018,Q3 2018,Q4 2018,Q1 2019,Q2 2019,Q3 2019,Q4 2019,Q1 2020,Q2 2020,Q3 2020,Q4 2020,Q1 2021,Q2 2021,Q3 2021,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Q4 2022,Q1 2023,Q2 2023,Q3 2023,Q4 2023,,,,Q1 2024,Q2 2024,Q3 2024,Q4 2024,Q1 2025,Q2 2025,Q3 2025,Q4 2025,,,,,,,,,,,,,,,,,,,,,,,
1.B.2 Investment income,12463.6,32055.753502333937,48908.839491530474,64202.229824411035,62196.92743024001,57603.24150074391,62864.57948781634,76923.31935282597,81867.6633417207,88799.53280348613,82673.20047647925,59550.123306409114,46396.25435834084,32817.40149723722,32743.124366538686,41890.118397009945,46241.941525535054,33175.25143647018,29884.882209783882,34700.62573711149,41347.766909889644,,1.ب.2 دخل الاستثمار,,1.B.2 Investment income,5964.60450033662,8216.68330599428,10055.24129520766,7819.224400795379,9481.44224523223,13381.38390776877,14585.29920055217,11460.7141379773,13823.21700299454,18775.02564492509,16552.32396785253,15051.663208638878,16318.11043383025,16485.51740822434,16733.01261612262,12660.286972062799,13917.02312134167,15663.46261086637,15148.82258776283,12873.93318077304,13032.5688204574,18174.83878316119,17194.51341162209,14462.65847257566,15346.1229583515,21896.46870030142,20670.13916624044,19010.58852793262,16104.9246001097,23752.85009038936,23319.61893184167,18690.26971937998,19320.69964398185,25644.03927651726,24295.2317555345,19539.56212745251,16696.05373122883,22383.774935919264,24994.58889617541,18598.78291315576,11861.9773383849,17872.465778971862,17247.09001956191,12568.59016949044,10669.455868442841,12033.81302431206,12499.908808439452,11193.076657146481,6926.74472866404,11303.625378859011,8257.692119163348,6329.3392705508195,9330.61576956625,13093.462114511038,3262.64683109917,7056.399651362229,-6924.172316060171,-231.4711553569714,21060.63833611491,27985.12353231218,10726.089153037621,10678.369875073371,13248.54487140043,11588.93762602363,10190.885622358412,6646.041504501999,18627.25101109409,-2288.926701484319,8521.02235704363,12212.051454567822,7081.290827690191,2070.5175704822395,1.ب.2 دخل الاستثمار,,1.B.2 Investment income,11556.756912394927,3430.8314254798406,7739.725024734221,11973.312374502497,8768.782163702212,13633.480121570119,7945.062042655437,11000.44258196187,,1.ب.2 دخل الاستثمار,,,,,,,,,,,,,,,,,,,,,
1.B.2.1 Direct investment,-1486,2913.1535023339397,6708.12074153047,3637.40433014104,393.1274302400102,2667.39150074391,1049.8294878163406,3396.31935282598,4576.41334172071,5546.0328034861195,11521.464376479269,281.3240136561103,534.8130871343801,-3024.7721252727806,3827.3494160746895,-8272.769139573851,-2610.38142921132,17424.93456795123,587.5657384343804,-11239.2674759621,-9422.07821409042,,1.ب.1.2 الاستثمار المباشر,,1.B.2.1 Direct investment,260.47950033662005,790.4645559942801,1223.41004520766,638.7994007953798,1030.44224523223,1978.95265776877,2252.8867005521697,1445.8391379773,584.1562930645403,2003.2323941250897,922.2590664125303,127.75657653887993,364.01043383025035,518.21740822434,-244.98738387738013,-244.11302793720006,717.02312134167,788.6126108663698,530.8225877628302,630.93318077304,55.81882045739985,338.08878316119035,553.5134116220902,102.4084725756602,634.1229583515001,1507.21870030142,726.3891662404399,528.5885279326199,833.4246001096999,1479.10009038936,1055.11893184167,1208.76971937998,1570.44964398185,1065.78927651726,1165.4817555344998,1744.3121274525101,2185.83623122883,2500.3453359192695,3713.9808961754097,3121.30191315576,-568.2626616151001,1229.9787789718603,-267.8342731910898,-112.55783050956006,773.38700099271,-764.9734924694399,3.326445953559869,523.0731326575501,-789.19508383846,1117.9698801065097,-2048.5686933391503,-1304.97822820168,964.9614544687497,-1501.84469685146,156.17791525667008,4208.05474320073,-8567.95162421975,-4641.37563725989,-1919.0881726855903,6855.646294591379,-937.3611446048699,-153.85567894162978,-491.4212185034503,-1027.7433871613703,2354.7191113979097,11811,1750.15284926221,1509.06260729111,742.4254475452699,-1104.6750587896295,304.9931950108203,644.8221546679197,1.ب.1.2 الاستثمار المباشر,,1.B.2.1 Direct investment,-2002.1866387127302,-2399.16036085857,-3629.8871700913996,-3208.0333062994005,-4134.03585456866,1085.5689824945293,-2412.0349391752197,-3961.5764028410704,,1.ب.1.2 الاستثمار المباشر,,,,,,,,,,,,,,,,,,,,,
Credit,4650,9714.2,14066.4125,11630.074999999999,8695.6625,11105.011875,10093.646250000002,12752.104687500001,14475.074999999999,15686.921875,21927.44458984,11854.62451363394,13497.17991483018,10420.87337441125,18184.3463929941,6390.6819744196,17751.432133788687,39002.3235471495,31943.28516279613,17840.28227127325,22478.477684160993,,دائــن,,Credit,1901.375,2475.40625,2943.94375,2393.475,2817,3800.6,4110.6875,3338.125,2521.2375,3984.075,2943.675,2181.0875,2435.3,2592.1625,1832.1,1836.1,2798.94875,2886.421875,2639.410625,2780.230625,2256.6675,2585.08125,2847.268125,2404.629375,2949.140625,3841.9359375,3071.334375,2889.69375,3271.171875,3944.784375,3541.734375,3717.384375,4090.375,3594.834375,3705.271875,4296.440625,4742.545,5079.4926,6343.866128,5761.54086184,2085.23055671872,4052.99640117247,2712.10137238185,3004.2961833609,3998.95655282779,2471.83320525041,3250.17687089242,3776.21328585956,2472.59319214643,4449.6673376836,1327.68647638507,2170.92636819615,4540.46277914172,2080.84648137486,3742.15325322586,7820.88387925166,-4931.83756114818,-987.60900880312,1757.71682239587,10552.41172197503,3835.79143300312,4674.29505026286,4837.53657783296,4403.80907268975,7295.3504980245,17262,7298.56503617089,7146.40801295411,8711.81253050813,6959.0330066156,8500.81033017494,7771.62929549746,دائــن,,Credit,5058.18170888153,4787.42056844704,3713.48130961723,4281.19868432745,3555.90083921707,8961.60207364614,5650.57910465056,4310.39566664722,,دائــن,,,,,,,,,,,,,,,,,,,,,
Debit,6136,6801.0464976660605,7358.29175846953,7992.6706698589605,8302.53506975999,8437.62037425609,9043.81676218366,9355.78533467402,9898.66165827929,10140.88907151388,10405.98021336073,11573.300499977831,12962.3668276958,13445.64549968403,14356.99697691941,14663.451113993451,20361.81356300001,21577.38897919827,31355.719424361752,29079.54974723535,31900.555898251412,,مديـن,,Debit,1640.89549966338,1684.94169400572,1720.53370479234,1754.67559920462,1786.55775476777,1821.64734223123,1857.80079944783,1892.2858620227,1937.08120693546,1980.84260587491,2021.41593358747,2053.33092346112,2071.28956616975,2073.94509177566,2077.08738387738,2080.2130279372,2081.92562865833,2097.80926413363,2108.58803723717,2149.29744422696,2200.8486795426,2246.99246683881,2293.75471337791,2302.22090242434,2315.0176666485,2334.71723719858,2344.94520875956,2361.10522206738,2437.7472748903,2465.68428461064,2486.61544315833,2508.61465562002,2519.92535601815,2529.04509848274,2539.7901194655,2552.12849754749,2556.70876877117,2579.14726408073,2629.88523182459,2640.23894868424,2653.49321833382,2823.01762220061,2979.93564557294,3116.85401387046,3225.56955183508,3236.80669771985,3246.85042493886,3253.14015320201,3261.78827598489,3331.69745757709,3376.25516972422,3475.90459639783,3575.50132467297,3582.69117822632,3585.97533796919,3612.82913605093,3636.11406307157,3653.76662845677,3676.80499508146,3696.76542738365,4773.15257760799,4828.15072920449,5328.95779633641,5431.55245985112,4940.63138662659,5451,5548.41218690868,5637.345405663,7969.38708296286,8063.70806540523,8195.81713516412,7126.80714082954,مديـن,,Debit,7060.36834759426,7186.58092930561,7343.36847970863,7489.23199062685,7689.93669378573,7876.03309115161,8062.61404382578,8271.97206948829,,مديـن,,,,,,,,,,,,,,,,,,,,,
1.B.2.2 Portfolio investment,11159.6,23314.079999999998,33761,53137.82549427,52788.9,52030.1,58562.75,68710.75,75114.5,81910.75,69151.3075,54620.17706741,39643.666085833975,24836.006622509998,11743.258247509995,33844.6064463428,35901.94033814688,11576.20141350995,31296.879203953413,44510.4325033497,43423.552033229236,,1.ب.2.2 استثمارات الحافظة,,1.B.2.2 Portfolio investment,4563.3,5940.974999999999,7065.464999999999,5744.339999999999,6761,9122,9866,8012,10827.56070993,14415.2932508,14423.06490144,13471.9066321,12629.6,13401.3,15115,11643,12630.6,14432.5,13720,11247,11953.25,17240.25,15839.5,13529.75,13673.75,18773.75,18825,17438.25,14668.5,21806.5,21721.25,16918.25,17427.75,24211.25,22784.75,17487,14150.323499999999,19562.129999999997,20823.358,14615.496,11733.499,15769.376,15143.647067409998,11973.655,8903.316682077651,11357.0745167815,10815.637362485892,8567.637524488931,5608.9778125025,7597.948498752501,7477.1148125025,4151.965498752499,4894.0533125024995,11886.721686252498,-2000.9883124975004,-3036.5284387475012,-1947.886121397501,-114.22323458500068,18260.1648379775,17646.5509643478,9561.320748477501,8131.537406615002,10100.933101419381,8108.149081635,7327.941901139001,-6944.062666903001,14337.460072071879,-3145.1378927979295,7070.488187808931,12796.419401906322,7076.89259118252,4353.079023055641,1.ب.2.2 استثمارات الحافظة,,1.B.2.2 Portfolio investment,9941.604966362787,7411.20563742482,8686.294493051071,18471.327406511016,9505.418854004152,12551.43967748533,7342.818193166437,14023.87530857331,,1.ب.2.2 استثمارات الحافظة,,,,,,,,,,,,,,,,,,,,,
Credit,11159.6,23314.079999999998,33761,53371.5,53324,52364.5,58966.75,69299.75,75766.5,82615.75,69837.3075,55261.17706741,48121.21295341216,47068.139,34662.77,53122.13892695779,64112.615783990004,43566.711796436,68085.01811900467,93733.9856609476,99435.23104987908,,دائــن,,Credit,4563.3,5940.974999999999,7065.464999999999,5744.339999999999,6761,9122,9866,8012,10883,14502,14509,13477.5,12723,13636,15202,11763,12738,14501.5,13726,11399,12073.25,17310.25,15939.5,13643.75,13808.75,18923.75,18980,17587.25,14850.5,21963.5,21882.25,17070.25,17588.75,24393.25,22955.75,17678,14326.323499999999,19725.129999999997,20995.358,14790.496,11886.499,15928.376,15304.647067409998,12141.655,10756.58495341216,13434.691,12800.222000000002,11129.715,9110.445,12602.36,12976.582,12378.752,10096.693,18386.441,3021.867,3157.7689999999993,1412.292215164999,5179.325766659999,21582.11973554,24948.401209592797,13873.29640954,17170.68988086,15118.803752560001,17949.82574103,13329.072614139,1667.1896140970002,21648.9235767125,6921.5259914875005,13759.34787030486,23570.79354940453,14878.7619339576,15876.11476533769,دائــن,,Credit,18260.390737855058,20010.99472434103,21085.1566830333,34377.44351571821,21760.464009686562,26190.47494652986,23295.192138256418,28189.09995540623,,دائــن,,,,,,,,,,,,,,,,,,,,,
Debit,,,,233.67450573000002,535.1,334.4,404,589,652,705,686,641,8477.546867578189,22232.13237749,22919.51175249,19277.532480615002,28210.675445843117,31990.510382926048,36788.13891505127,49223.5531575979,56011.67901664984,,مديـن,,Debit,,,,,,,,,55.43929007,86.7067492,85.93509856,5.5933679,93.4,234.7,87,120,107.4,69,6,152,120,70,100,114,135,150,155,149,182,157,161,152,161,182,171,191,176,163,172,175,153,159,161,168,1853.26827133451,2077.6164832185,1984.58463751411,2562.0774755110697,3501.4671874975,5004.4115012474995,5499.4671874975,8226.786501247501,5202.6396874975,6499.719313747501,5022.855312497501,6194.297438747501,3360.1783365625,5293.549001245,3321.9548975625,7301.850245244999,4311.9756610625,9039.152474245,5017.87065114062,9841.676659395,6001.130713,8611.252281000001,7311.46350464062,10066.66388428543,6688.8596824959295,10774.374147498209,7801.8693427750795,11523.035742282049,مديـن,,Debit,8318.78577149227,12599.789086916211,12398.862189982228,15906.11610920719,12255.04515568241,13639.035269044529,15952.373945089981,14165.22464683292,,مديـن,,,,,,,,,,,,,,,,,,,,,
1.B.2.2.1 Investment income on equity and investment fund shares,,,,16101.82549427,11752.9,12258.6,15398.5,19008.5,26250.5,32006.25,24872.121,15251.152000000002,11757.99275867181,4963.549999999999,-14966.574999999999,12420.075744304999,28612.13305829,8454.7274756325,21855.737928439677,35536.66453705634,34566.41909724409,,1.ب.1.2.2 دخل الاستثمار من حقوق الملكية وأسهم صناديق الاستثمار,,1.B.2.2.1 Investment income on equity and investment fund shares,,,,,,,,,2093.56070993,7432.2932508,3379.06490144,3196.9066321,1732.6,4857.3,2819,2344,1636.6,5511,2972,2139,1087.5,7332.5,3856.25,3122.25,2006.25,7380,4941.25,4681,3061.75,10298,7451.5,5439.25,5047.75,13306.75,8007.75,5644,4084.3959999999997,9644.375,7519.6,3623.75,2518.424,6459.528,3966.2,2307,1456.08954116549,5065.0553917815005,2953.2231749858897,2283.62465073893,-516.175,3877.1499999999996,810.6000000000004,791.9749999999999,286.4500000000003,4160.325000000001,-9129.525,-10283.825,-9069.746386945,-3373.3647245800003,10734.70819371,14128.47866212,5238.19284338,8101.95001398,6080.29321138,9191.69698955,4633.409678525501,-7131.4006541555,12403.835070385001,-1451.1166191224997,5868.66221759486,11796.135507747029,2921.3111435801,1269.6290595176897,1.ب.1.2.2 دخل الاستثمار من حقوق الملكية وأسهم صناديق الاستثمار,,1.B.2.2.1 Investment income on equity and investment fund shares,6332.4600462400595,7321.80149175753,3888.4335211302005,17993.96947792855,6317.154515143021,11103.220676062298,7804.158734829509,9341.88517120926,,1.ب.1.2.2 دخل الاستثمار من حقوق الملكية وأسهم صناديق الاستثمار,,,,,,,,,,,,,,,,,,,,,
Credit,,,,16335.5,12288,12593,15802.5,19597.5,26902.5,32711.25,25558.121,15892.152000000002,16260.050000000001,17252.55,-1190.374999999999,18126.663644305,40573.11974969,25785.844669632505,38028.34489243968,56563.08393605634,56739.84805924409,,دائــن,,Credit,,,,,,,,,2149,7519,3465,3202.5,1826,5092,2906,2464,1744,5580,2978,2291,1207.5,7402.5,3956.25,3236.25,2141.25,7530,5096.25,4830,3243.75,10455,7612.5,5591.25,5208.75,13488.75,8178.75,5835,4260.396,9807.375,7691.6,3798.75,2671.424,6618.528,4127.2,2475,2745.1,6104.1,4033.95,3376.9,1781.825,7113.15,4566.6,3790.975,3656.65,8407.325,-5979.525,-7274.825,-6918.289776945,-3180.56472458,12427.96948971,15797.54865612,7870.86021538,11050.22223698,9118.82499338,12533.21230395,9100.3366415255,-2485.3090931555,16881.095018385,2289.7221028775,9579.37146959486,15974.99252474703,7364.0656585801,5109.91523951769,دائــن,,Credit,10660.52284624006,12351.68429675753,9301.1911821302,24249.68561092855,11877.57350974302,16753.5106120623,14305.80462132951,13802.95931610926,,دائــن,,,,,,,,,,,,,,,,,,,,,
Debit,,,,233.67450573000002,535.1,334.4,404,589,652,705,686,641,4502.05724132819,12289,13776.2,5706.5879,11960.9866914,17331.117194,16172.606963999999,21026.419399,22173.428961999998,,مديـن,,Debit,,,,,,,,,55.43929007,86.7067492,85.93509856,5.5933679,93.4,234.7,87,120,107.4,69,6,152,120,70,100,114,135,150,155,149,182,157,161,152,161,182,171,191,176,163,172,175,153,159,161,168,1289.01045883451,1039.0446082185,1080.72682501411,1093.27534926107,2298,3236,3756,2999,3370.2,4247,3150,3009,2151.45661,192.8,1693.261296,1669.069994,2632.667372,2948.272223,3038.531782,3341.5153144,4466.926963,4646.091561,4477.259948,3740.838722,3710.709252,4178.857017,4442.754515,3840.28618,مديـن,,Debit,4328.0628,5029.882805,5412.757661,6255.716133,5560.4189946,5650.289936,6501.6458865,4461.0741449,,مديـن,,,,,,,,,,,,,,,,,,,,,
1.B.2.2.2 Interest ,,,,37036,41036,39771.5,43164.25,49702.25,48864,49904.5,44279.186499999996,39369.02506741,27885.673327162163,19872.45662251,26709.833247509996,21424.5307020378,7289.80727985688,3121.473937877451,9441.141275513732,8973.767966293355,8857.132935985144,,1.ب.2.2.2 الفائدة,,1.B.2.2.2 Interest ,,,,,,,,,8734,6983,11044,10275,10897,8544,12296,9299,10994,8921.5,10748,9108,10865.75,9907.75,11983.25,10407.5,11667.5,11393.75,13883.75,12757.25,11606.75,11508.5,14269.75,11479,12380,10904.5,14777,11843,10065.9275,9917.755,13303.758,10991.746,9215.075,9309.848,11177.44706741,9666.655,7447.22714091216,6292.019125000001,7862.4141875000005,6284.01287375,6125.1528125025,3720.7984987525,6666.5148125025,3359.9904987524997,4607.6033125025,7726.396686252499,7128.536687502499,7247.296561252499,7121.860265547499,3259.1414899949996,7525.4566442675,3518.0723022278,4323.1279050975,29.58739263499956,4020.6398900393806,-1083.547907915,2694.5322226135004,187.33798725250017,1933.6250016868803,-1694.0212736754302,1201.8259702140704,1000.2838941592909,4155.58144760242,3083.4499635379507,1.ب.2.2.2 الفائدة,,1.B.2.2.2 Interest ,3609.14492012273,89.40414566729032,4797.86097192087,477.35792858246896,3188.2643388611295,1448.219001423031,-461.3405416630703,4681.99013736405,,1.ب.2.2.2 الفائدة,,,,,,,,,,,,,,,,,,,,,
Credit,,,,37036,41036,39771.5,43164.25,49702.25,48864,49904.5,44279.186499999996,39369.02506741,31861.16295341216,29815.589,35853.145,34995.4752826528,23539.4960343,17780.8671268035,30056.673226565003,37170.90172489126,42695.382990634986,,دائــن,,Credit,,,,,,,,,8734,6983,11044,10275,10897,8544,12296,9299,10994,8921.5,10748,9108,10865.75,9907.75,11983.25,10407.5,11667.5,11393.75,13883.75,12757.25,11606.75,11508.5,14269.75,11479,12380,10904.5,14777,11843,10065.9275,9917.755,13303.758,10991.746,9215.075,9309.848,11177.44706741,9666.655,8011.48495341216,7330.591,8766.272,7752.815,7328.62,5489.21,8409.982,8587.777,6440.043,9979.116,9001.392,10432.594,8330.58199211,8359.89049124,9154.15024583,9150.8525534728,6002.43619416,6120.46764388,5999.97875918,5416.61343708,4228.7359726135,4152.4987072525,4767.8285583275,4631.80388861,4179.97640071,7595.8010246575,7514.6962753775,10766.19952582,دائــن,,Credit,7599.867891615,7659.3104275835,11783.9655009031,10127.75790478966,9882.89049994354,9436.96433446756,8989.38751692691,14386.14063929697,,دائــن,,,,,,,,,,,,,,,,,,,,,
Debit,,,,,,,,,,,,,3975.4896262499997,9943.132377490001,9143.31175249,13570.944580615,16249.688754443121,14659.39318892605,20615.53195105127,28197.1337585979,33838.25005464984,,مديـن,,Debit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,564.2578125,1038.571875,903.8578125,1468.80212625,1203.4671874975,1768.4115012475,1743.4671874975,5227.7865012475,1832.4396874975,2252.7193137475,1872.8553124975,3185.2974387475,1208.7217265625,5100.749001245,1628.6936015625,5632.780251245,1679.3082890625,6090.880251245,1979.33886914062,6500.161344995,1534.20375,3965.16072,2834.20355664062,6325.82516228543,2978.15043049593,6595.51713049821,3359.11482777508,7682.74956228205,مديـن,,Debit,3990.72297149227,7569.90628191621,6986.10452898223,9650.39997620719,6694.62616108241,7988.74533304453,9450.72805858998,9704.15050193292,,مديـن,,,,,,,,,,,,,,,,,,,,,
1.B.2.3 Other investment,2790,5828.52,8439.71875,7427,9014.9,2905.75,3252,4816.25,2176.75,1342.75,2000.4286000000002,4648.6222253430005,6217.77518537248,11006.167,17172.516702954,16318.281090240998,12950.38261659949,4174.1154550090005,-1999.5627326039116,1429.4607097238913,7346.293090750827,,1.ب.3.2 الاستثمارات الأخرى,,1.B.2.3 Other investment,1140.825,1485.24375,1766.36625,1436.085,1690,2280.43125,2466.4125,2002.875,2411.5,2356.5,1207,1452,3324.5,2566,1863,1261.4,569.4,442.35,898,996,1023.5,596.5,801.5,830.5,1038.25,1615.5,1118.75,1043.75,603,467.25,543.25,563.25,322.5,367,345,308.25,359.894,321.29960000000005,457.25000000000006,861.985,696.741,873.1110000000001,2371.2772253430003,707.4929999999999,992.75218537248,1441.712,1680.9450000000002,2102.366,2106.962,2587.7070000000003,2829.1459999999997,3482.352,3471.601002595,2708.58512511,5107.45722834,5884.873346909,3591.6654295570797,4524.127716487919,4719.561670822999,3482.9262733729997,2102.1295491649903,2700.6881474,3639.0329884845,4508.53193155,508.22460982149994,1779.104171405,2539.63808976,-652.8514159774995,708.1087216894298,520.3071114511295,-300.5949585031494,-2927.3836072413214,1.ب.3.2 الاستثمارات الأخرى,,1.B.2.3 Other investment,3617.33858474487,-1581.2138510864097,2683.3177017745493,-3289.98172570912,3397.39916426672,-3.5285384097396673,3014.27878866422,938.1436762296298,,1.ب.3.2 الاستثمارات الأخرى,,,,,,,,,,,,,,,,,,,,,
Credit,2790,5828.52,8439.71875,14806,11246.5,3786.85,4147,5704.25,3139.75,2337.75,3039.8226000000004,9464.126616462001,8464.94365075248,14248.499,23228.750311449003,20823.614326255996,16471.70432628,13623.539479349001,27138.200074231616,35532.417025074945,31196.880261297658,,دائــن,,Credit,1140.825,1485.24375,1766.36625,1436.085,1690,2280.43125,2466.4125,2002.875,3199,3803,3437,4367,3659.1,3092,2502,1993.4,651.5,682.35,1103,1350,1120.5,777.5,1068.5,1180.5,1098.25,1802.5,1403.75,1399.75,695,660.25,825.25,959.25,412.5,576,649,700.25,463.838,524.4346,768.359,1283.191,882.674,1241.604,5349.367616462,1990.481,1268.40665075248,1894.443,2341.635,2960.459,2432.982,3155.19,3885.913,4774.414,4141.761315115,3897.65456525,6875.2990956,8314.035335484,4426.92721016408,5434.33872812692,5935.574412501,5026.773975464,2521.431415068,3376.34017308,4639.669397822,5934.26334031,1287.839928829,3092.61950316,5124.6930402375,4118.3870071225,4570.32673522326,7074.61064156581,6518.0505962645,8975.21210117805,دائــن,,Credit,7118.19706630916,7903.33731856884,10687.00635789042,9823.87628230653,7311.78587802157,8071.73921674342,8119.6673254996,7693.68784103307,,دائــن,,,,,,,,,,,,,,,,,,,,,
Debit,,,,7379,2231.6,881.1,895,888,963,995,1039.394,4815.504391119,2247.16846538,3242.332,6056.233608495,4505.333236015,3521.32170968051,9449.42402434,29137.762806835533,34102.95631535105,23850.58717054683,,مديـن,,Debit,,,,,,,,,787.5,1446.5,2230,2915,334.6,526,639,732,82.1,240,205,354,97,181,267,350,60,187,285,356,92,193,282,396,90,209,304,392,103.944,203.135,311.109,421.206,185.933,368.493,2978.090391119,1282.988,275.65446538,452.731,660.69,858.093,326.02,567.483,1056.767,1292.062,670.16031252,1189.06944014,1767.84186726,2429.161988575,835.261780607,910.211011639,1216.012741678,1543.847702091,419.30186590301,675.65202568,1000.6364093375,1425.73140876,779.6153190075,1313.515331755,2585.0549504775,4771.2384231,3862.21801353383,6554.30353011468,6818.64555476765,11902.59570841937,مديـن,,Debit,3500.85848156429,9484.55116965525,8003.68865611587,13113.85800801565,3914.38671375485,8075.26775515316,5105.38853683538,6755.54416480344,,مديـن,,,,,,,,,,,,,,,,,,,,,
1.C Secondary income,-55374,-62843.524874999996,-63869.2105,-86293.947,-103772.16500000001,-104703.32,-110196.7325,-114143.5,-134510.05,-145252.4625,-167651.055,-158698.353,-143442.1642,-153998.36423304997,-137207.517,-140350.75298006798,-165612.46515275302,-171593.48301398824,-192744.28245270567,-205127.12033067353,-245861.29370550954,,1.ج الدخل الثانوي,,1.C Secondary income,-14375.611499999999,-16247.002875,-15959.03875,-16261.87175,-13292,-17324.64675,-18301.9725,-14950.59125,-19886.285,-21389.352000000003,-23761.655,-21256.655,-25338.22,-26425.355,-25023.114999999998,-26985.475,-25466.39,-25526,-24363.31,-29347.620000000003,-25593.815000000002,-28696.9375,-27520.245,-28385.735,-28152,-30891.025,-26705.975000000002,-28394.5,-30021.825,-35472.675,-35701.850000000006,-33313.7,-37072.6,-35271.6625,-36655.55,-36252.65,-47092.375000000015,-39842.62,-35618.38499999999,-45097.675,-42326.615,-40909.008,-33012.045,-42450.685000000005,-36387.53000000001,-36930.445,-33523.353,-36600.836200000005,-39429.945616714,-39105.779916335996,-37036.9447,-38425.693999999996,-35038.399999999994,-34653.525,-34002.633,-33512.959,-32263.63,-32393.349,-37366.595,-38327.178980068,-38689.53928176701,-41662.498382986,-42229.360488,-43031.067,-41851.291226297006,-43067.498903303625,-43225.14086118666,-43449.552023200944,-44169.615531528594,-54518.52419812186,-44015.83538164696,-50040.30734140824,1.ج الدخل الثانوي,,1.C Secondary income,-47063.48540343006,-52827.81892358392,-50511.76020566112,-54724.05579799842,-58190.56687549993,-58075.74403691123,-63965.4470191122,-65629.53577398616,,1.ج الدخل الثانوي,,,,,,,,,,,,,,,,,,,,,
