,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
القائمة الرئيسية   Main List,,,,,,,,,,,,,,,,,,,,,,,القطاع الخارجي       External Sector,,القائمة الرئيسية   Main List,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,القطاع الخارجي       External Sector,,القائمة الرئيسية   Main List,,,,,,,,,,القطاع الخارجي       External Sector,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 2: Balance of Payments,,,,,,,,,,,,,,,,,,,,,,,جدول 2: ميـزان المدفـوعــات,,Contd. 4 Table 2: Balance of Payments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,تابع 4 جدول 2: ميـزان المدفـوعــات,,Contd.4 Table 2: Balance of Payments,,,,,,,,,,تابع 4 جدول 2: ميـزان المدفـوعــات,,,,,,,,,,,,,,,,,,,,
(Million US$),,,,,,,,,,,,,,,,,,,,,,,(مليون US$),,(Million US$),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(مليون US$),,(Million US$),,,,,,,,,,(مليون US$),,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2005-12-01T00:00:00,2006-12-31T00:00:00,2007-12-31T00:00:00,2008-12-31T00:00:00,2009-12-31T00:00:00,2010-12-31T00:00:00,2011-12-31T00:00:00,2012-12-31T00:00:00,2013-12-31T00:00:00,2014-12-31T00:00:00,2015-12-31T00:00:00,2016-12-31T00:00:00,2017-12-31T00:00:00,2018-12-31T00:00:00,2019-12-31T00:00:00,2020-12-31T00:00:00,2021-12-31T00:00:00,2022-12-31T00:00:00,2023-12-31T00:00:00,2024-01-01T00:00:00,2025-01-01T00:00:00,,,,,Q1 2006,Q2 2006,Q3 2006,Q4 2006,Q1 2007,Q2 2007,Q3 2007,Q4 2007,Q1 2008,Q2 2008,Q3 2008,Q4 2008,Q1 2009,Q2 2009,Q3 2009,Q4 2009,Q1 2010,Q2 2010,Q3 2010,Q4 2010,Q1 2011,Q2 2011,Q3 2011,Q4 2011,Q1 2012,Q2 2012,Q3 2012,Q4 2012,Q1 2013,Q2 2013,Q3 2013,Q4 2013,Q1 2014,Q2 2014,Q3 2014,Q4 2014,Q1 2015,Q2 2015,Q3 2015,Q4 2015,Q1 2016,Q2 2016,Q3 2016,Q4 2016,Q1 2017,Q2 2017,Q3 2017,Q4 2017,Q1 2018,Q2 2018,Q3 2018,Q4 2018,Q1 2019,Q2 2019,Q3 2019,Q4 2019,Q1 2020,Q2 2020,Q3 2020,Q4 2020,Q1 2021,Q2 2021,Q3 2021,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Q4 2022,Q1 2023,Q2 2023,Q3 2023,Q4 2023,,,,Q1 2024,Q2 2024,Q3 2024,Q4 2024,Q1 2025,Q2 2025,Q3 2025,Q4 2025,,,,,,,,,,,,,,,,,,,,,,
Debit,53167.61333333333,62332.349761467885,80585.35287850986,99491.72503466667,85426.57248,95586.76697466667,117689.52053306665,139110.51108266666,150437.910144,155456.9447253333,154792.21066666668,124419.08009918933,119968.627936936,121323.44996421601,136624.76778954934,123478.60533333334,134874.976,168903.52768654667,183278.2696624213,206318.13778052534,220556.17756361334,,مديـن,,Debit,12948.794666666667,15878.518409785931,16101.15183363914,17403.884851376144,18155.60024242424,19779.237944954126,20749.875033639142,21900.639657492353,22108.85457066667,24354.71648,26245.930752,26782.223232,20576.50176,21641.27837866667,21310.855530666668,21897.936810666662,21862.958782666665,24446.337471999996,23877.767552000005,25399.703168000004,25995.24085306667,29979.611690666665,30637.367786666666,31077.300202666665,32549.705727999997,35863.234304000005,35291.650111999996,35405.92093866666,37408.350912,40120.342826666674,37202.17474133333,35707.041664,36286.505066666665,40568.96571733334,40267.793088,38333.680853333324,38724.848000000005,40308.890666666666,37125.058666666664,38633.41333333334,33865.79448282933,33126.188359813335,27883.23307314133,29543.864183405334,29651.39841833867,30135.814334144,29602.69996656,30578.715217893336,29972.837933482668,31371.901333333335,29879.236030733337,30099.474666666665,31470.25274210667,35792.82791845067,34925.14595485334,34436.54117413867,31504.274666666668,29946.128,29360.08,32668.122666666666,32734.090666666663,33032.85866666667,34086.333333333336,35021.69333333333,37657.221333333335,41367.77699755467,43168.01866666667,46710.510688992006,45212.519275727995,44803.03009871466,45684.89992610401,47577.82036187466,مديـن,,Debit,48536.97914969066,49466.923388799994,52658.39513718934,55655.84010484534,53686.02404993332,54654.368571599996,55572.12710472,56643.657837360006,,مديـن,,,,,,,,,,,,,,,,,,,,
Of which: 1.A.a.1.1 Re-exports (credit),2872.5333333333333,3949.0666666666666,5330.933333333333,5725.6,6338.133333333333,5237.6,6501.333333333333,7392,8136.8,9652.533333333333,8590.133333333333,7958.133333333333,8497.8125928,8450.4,11160.524572,9432.266666666666,12280.8,13334.666666666666,16900.097821866664,24159.4923576,36933.732857866664,,ومنها: 1.أ.أ.1.1 إعادة التصدير (دائن),,Of which: 1.A.a.1.1 Re-exports (credit),866.6666666666666,1079.2,934.9333333333333,1068.2666666666667,1239.4666666666667,1465.3333333333333,1205.8666666666666,1420.2666666666667,1338.4,1533.6,1442.9333333333334,1410.6666666666667,1464.2666666666667,1625.3333333333333,1467.7333333333333,1780.8,1384.8,1340.8,1186.9333333333334,1325.0666666666666,1578.1333333333334,1503.7333333333333,1455.2,1964.2666666666667,1994.1333333333334,1887.7333333333333,1653.6,1856.5333333333333,1509.3333333333333,2073.866666666667,1789.6,2764,2339.733333333333,2496.5333333333333,2462.6666666666665,2353.6,2199.4666666666667,1893.8666666666666,1993.6,2503.2,2186.6666666666665,2176,1569.6,2025.8666666666666,1991.9463464,2109.8310186666668,1645.6,2750.4352277333332,1910.9333333333334,2306.9333333333334,2120,2112.5333333333333,2831.5591394666667,2619.6142672,2612.4959104,3096.855254933333,2167.2,1997.3333333333333,2196.8,3070.9333333333334,2920.8,2220.266666666667,2813.3333333333335,4326.4,3100.8,3840.8,3403.733333333333,2989.3333333333335,4193.129260533333,4279.018009333334,4084.6075392,4343.3430128,ومنها: 1.أ.أ.1.1 إعادة التصدير (دائن),,Of which: 1.A.a.1.1 Re-exports (credit),5737.136995466667,5974.713201333333,6048.7504125333335,6398.8917482666675,7224.281370666667,8736.530767733333,10262.54345013333,10710.377269333334,,ومنها: 1.أ.أ.1.1 إعادة التصدير (دائن),,,,,,,,,,,,,,,,,,,,
1.A.a.2 Nonmonetary gold,-613.8666666666667,-639.7333333333333,-950.6666666666666,-680.815232,-578.6323199999999,-635.6181986666667,-771.1857069333333,-929.0334506666667,-1008.230656,-1035.2015338666668,-2426.8304,-1257.8266666666668,-1447.6896601039998,-2421.3723765839995,-1277.2342236773334,908.6853333333332,-2221.4928,-4139.781824322667,-5243.082013026667,-5659.371591202666,-5855.862069453332,,1 .أ.أ.2 الذهب غير النقدي,,1.A.a.2 Nonmonetary gold,-200,-293.3333333333333,-131.2,-15.2,-177.33333333333334,-295.2,-265.3333333333333,-212.8,-147.94542933333332,-164.80405333333331,-179.71511466666664,-188.35063466666668,-140.55850666666666,-148.34348799999998,-144.59300266666668,-145.13732266666665,-144.4215906666667,-163.0619946666667,-160.26764799999998,-167.86696533333333,-170.80725360000002,-197.864576,-200.94368,-201.57019733333334,-213.926272,-240.35022933333337,-240.14562133333337,-234.61132800000001,-255.14775466666669,-273.1537066666667,-249.03272533333333,-230.8964693333333,-236.48586666666668,-270.19268266666666,-269.89770453333335,-258.62528,-623.5493333333333,-417.3024,-656.8853333333334,-729.0933333333334,-390.472,-253.38400000000001,-157.46133333333333,-456.5093333333333,-630.8490093146667,-347.403317456,-157.46133333333333,-311.976,-344.7694166506666,-662.712,-915.9256266,-497.9653333333333,-322.9893333333333,-703.577925176,17.85600000000001,-268.522965168,-195.11200000000002,193.75466666666665,716.2666666666667,193.776,-529.1626666666667,-519.0714666666667,-577.8626666666667,-595.3960000000001,-370.10133333333334,-1146.249669112,-1483.6613333333332,-1139.769488544,-742.2773333333333,-1433.9791667546667,-1723.5055129386667,-1343.32,1 .أ.أ.2 الذهب غير النقدي,,1.A.a.2 Nonmonetary gold,-1753.9542385973332,-1667.5711207653333,-736.3124236159999,-1501.5338082240003,-906.9565582533335,-2066.426294746667,-1200.97537624,-1681.5038402133334,,1 .أ.أ.2 الذهب غير النقدي,,,,,,,,,,,,,,,,,,,,
Credit,176.8,160,104.8,129.72906666666668,116.92799999999998,140.12149333333335,184.12042666666667,203.68213333333333,215.9392,231.4997333333333,305.3333333333333,764.8,639.2553768,522.2443258666667,847.5204250666667,1969.8666666666666,1109.8666666666666,979.3747469333333,1408.8848442666667,1774.921508,3112.4105474666667,,دائــن,,Credit,24,26.4,36.8,72.8,22.666666666666668,24.8,28,29.333333333333332,32.154666666666664,33.639466666666664,34.09813333333333,29.8368,26.939733333333333,27.950933333333335,28.89813333333333,33.1392,31.15296,35.907199999999996,34.071466666666666,38.989866666666664,37.97856,46.20373333333334,48.48853333333333,51.449600000000004,51.034666666666666,51.69813333333333,47.2416,53.70773333333333,49.27466666666667,53.4368,53.6192,59.608533333333334,58.742399999999996,59.93493333333333,59.26186666666667,53.56053333333333,65.86666666666666,81.6,59.46666666666667,98.4,166.93333333333334,209.86666666666667,189.06666666666666,198.93333333333334,148.53333333333333,152.32204346666668,189.06666666666666,149.33333333333334,153.45931653333335,110.66666666666667,171.98500933333335,86.13333333333334,145.6,158.99444026666666,271.2,271.7259848,226.4,281.6,934.6666666666666,527.2,294.93333333333334,324.8,220.8,269.3333333333333,253.06666666666666,281.06666666666666,191.46666666666667,253.77474693333335,299.73333333333335,303.6165872,402.8682570666667,402.6666666666667,دائــن,,Credit,387.8750301333333,434.1669072,434.56980186666664,518.3097688,607.0880210666667,611.7650941333334,774.6687416,1118.8886906666667,,دائــن,,,,,,,,,,,,,,,,,,,,
Debit,790.6666666666666,799.7333333333333,1055.4666666666667,810.5442986666666,695.56032,775.7396919999999,955.3061336,1132.7155840000003,1224.169856,1266.7012671999998,2732.1637333333333,2022.6266666666668,2086.945036904,2943.6167024506663,2124.754648744,1061.1813333333334,3331.3594666666672,5119.156571256,6651.966857293333,7434.293099202667,8968.27261692,,مديـن,,Debit,224,319.73333333333335,168,88,200,320,293.3333333333333,242.13333333333333,180.100096,198.44351999999998,213.813248,218.1874346666667,167.49823999999998,176.29442133333333,173.491136,178.27652266666666,175.57455066666668,198.96919466666668,194.33911466666666,206.856832,208.7858136,244.06830933333333,249.43221333333335,253.01979733333334,264.96093866666666,292.04836266666666,287.38722133333334,288.31906133333337,304.4224213333334,326.59050666666667,302.65192533333334,290.50500266666666,295.2282666666667,330.127616,329.1595712,312.18581333333333,689.4159999999999,498.9024,716.3520000000001,827.4933333333333,557.4053333333334,463.2506666666667,346.528,655.4426666666666,779.382342648,499.72536092266665,346.528,461.30933333333337,498.22873318399996,773.3786666666667,1087.9106359333334,584.0986666666666,468.58933333333334,862.5723654426668,253.344,540.248949968,421.512,87.84533333333334,218.4,333.424,824.096,843.8714666666667,798.6626666666667,864.7293333333333,623.168,1427.3163357786666,1675.128,1393.5442354773334,1042.0106666666666,1737.5957539546666,2126.3737700053334,1745.9866666666667,مديـن,,Debit,2141.8292687306666,2101.738027965333,1170.8822254826666,2019.843577024,1514.0445793200001,2678.19138888,1975.6441178399998,2800.3925308800003,,مديـن,,,,,,,,,,,,,,,,,,,,
1.A.b Services ,-25751.464947707882,-35682.82719256584,-44854.851090227654,-62085.773816734254,-69281.29501840679,-70035.20590089177,-70243.7972080436,-65774.50754969631,-68496.76585254354,-92375.89578217486,-77713.20153088061,-57168.40062762822,-64353.250615040975,-67199.44437087291,-62034.968876697436,-57800.447490464554,-60634.36201263735,-54697.13153112474,-60654.38436680367,-62287.56343806197,-59271.35563447767,,1.أ.ب . الخدمات,,1.A.b Services ,-4266.861151242148,-7644.224253857575,-11022.082581918008,-12749.659205548109,-7116.765746526441,-11820.867896857459,-14697.112635420432,-11220.104811423324,-16580.698310055144,-16679.95810881537,-16528.220068274575,-12296.897329589165,-17402.44882602284,-20677.84324563867,-17962.862707511773,-13238.140239233511,-14699.278997405552,-20638.924453327832,-17366.097396391986,-17330.905053766408,-14085.294552616442,-18612.821492548155,-21145.078818455928,-16400.60234442308,-17723.044715586708,-18050.16289186852,-15416.078243564281,-14585.22169867681,-15880.5175056296,-16794.725119141927,-17481.28799921692,-18340.23522855509,-24469.60629348181,-16736.054471337935,-26724.072384980464,-24446.162632374668,-15406.11935927237,-20876.159097660868,-22187.960892825224,-19242.962181122162,-14606.611830105745,-14568.86778101487,-10119.036183874872,-17873.884832632735,-13771.190765678673,-19294.532468617203,-11512.312351921943,-19775.215028823153,-16802.055624294375,-15511.36755807888,-12615.240063322615,-22270.78112517704,-15346.972157081484,-14717.78603804765,-13333.185741160543,-18637.024940407762,-13748.425972565141,-16648.350129488077,-12169.64432236217,-15234.027066049166,-14701.246069861363,-13591.366164357922,-13880.56620526931,-18461.183573148755,-11017.217575860754,-21198.76139406382,-8577.446452110284,-13903.706109089886,-14136.658033088717,-11120.836273717616,-18541.824367805362,-16855.065692191965,1.أ.ب . الخدمات,,1.A.b Services ,-12654.60027822238,-13653.270068569893,-18319.904461342503,-17659.788629927152,-10991.504005451307,-17307.588607511338,-16704.663666646593,-14267.59935486843,,1.أ.ب . الخدمات,,,,,,,,,,,,,,,,,,,,
Credit,11804.00575260349,14199.073575034716,16655.344002778784,9196.203154040077,9627.870726649191,10617.979859896088,12260.581718457513,11880.644915466011,12750.628941400562,13420.203330303997,15391.972224715026,18196.166816254914,18916.20176280069,21565.192178100388,28145.423047508415,11001.516770855076,12747.253137580929,40551.90286493599,54567.93368537822,62790.18381337033,69411.31847063392,,دائــن,,Credit,4219.427361188106,2919.9170084426023,3604.9534551737547,3454.7757502302534,3932.426278626395,3352.2621747272215,4079.5890272120537,5291.066522213112,1451.0631168839866,2006.649756274848,2390.675408327568,3347.814872553675,1703.7865455261788,2217.202883291656,2319.00907859872,3387.8722192326372,1940.5666959814293,2207.5385556679335,2661.2796704176585,3808.594937829066,2187.488761756352,2900.1482032470003,3291.3880636896774,3881.5566897644844,2482.0847560472025,2795.61295842012,2679.1624349318613,3923.7847660668263,3083.842586275541,3083.2634432312907,2847.234681964323,3736.288229929408,3429.828199525888,3157.257889985075,2512.372215115181,4320.745025677851,3849.2542050998322,3557.23849613744,4924.387958397995,3061.091565079757,4562.717662039416,4486.012663166741,5551.133690428751,3596.3028006200084,3846.9376593886477,4456.0653029402565,6498.390377911825,4114.8084225599605,5036.624191118466,5157.740809903083,6581.638191014835,4789.188986064003,6722.540170695896,6903.235304069679,7941.362140505883,6578.285432236959,5306.121793098579,1522.4356641620986,1847.102205595784,2325.857107998613,2241.930083927715,2552.531421381232,3410.5104628287095,4542.281169443271,7396.7631001057,9116.631371762458,12402.741657101049,11635.76673596678,14107.706666666667,17861.78974948042,10003.609479360304,12594.827789870826,دائــن,,Credit,17106.23755460601,18326.13742669556,12274.741296823157,15083.067535245604,19697.097536507095,16573.959246989503,15516.988026619289,17623.273660518043,,دائــن,,,,,,,,,,,,,,,,,,,,
Debit,37555.47070031137,49881.90076760055,61510.19509300644,71281.97697077434,78909.16574505599,80653.18576078788,82504.37892650113,77655.15246516233,81247.3947939441,105796.09911247887,93105.17375559566,75364.56744388313,83269.45237784166,88764.6365489733,90180.39192420586,68801.96426131963,73381.61515021828,95249.03439606073,115222.3180521819,125077.7472514323,128682.6741051116,,مديـن,,Debit,8486.288512430254,10564.141262300176,14627.036037091764,16204.43495577836,11049.192025152837,15173.130071584681,18776.701662632484,16511.171333636437,18031.76142693913,18686.607865090216,18918.89547660214,15644.712202142839,19106.235371549017,22895.046128930328,20281.871786110496,16626.01245846615,16639.845693386982,22846.463008995765,20027.377066809644,21139.499991595472,16272.783314372793,21512.969695795156,24436.466882145607,20282.159034187567,20205.12947163391,20845.77585028864,18095.240678496142,18509.006464743637,18964.360091905142,19877.98856237322,20328.522681181243,22076.5234584845,27899.4344930077,19893.31236132301,29236.444600095645,28766.907658052518,19255.373564372203,24433.39759379831,27112.34885122322,22304.05374620192,19169.32949214516,19054.88044418161,15670.169874303623,21470.187633252746,17618.128425067323,23750.59777155746,18010.702729833767,23890.023451383113,21838.67981541284,20669.108367981964,19196.87825433745,27059.97011124104,22069.512327777382,21621.02134211733,21274.54788166643,25215.310372644723,19054.54776566372,18170.785793650175,14016.746527957954,17559.88417404778,16943.176153789078,16143.897585739152,17291.07666809802,23003.464742592027,18413.980675966453,30315.392765826276,20980.188109211333,25539.472845056665,28244.364699755384,28982.626023198034,28545.433847165663,29449.89348206279,مديـن,,Debit,29760.83783282839,31979.407495265456,30594.64575816566,32742.856165172758,30688.6015419584,33881.547854500845,32221.65169326588,31890.87301538647,,مديـن,,,,,,,,,,,,,,,,,,,,
1.A.b.1 Transport,-5181.484108627325,-6335.245062024367,-7660.05710660152,-8994.134691441628,-10273.472589746145,-11462.919923221232,-14353.038946511317,-16793.069322475563,-17833.422755068324,-18311.330893116072,-18536.432989964527,-12620.120502515072,-12135.090839911702,-11798.321043259826,-13660.364971804396,-13829.716378094308,-15164.682242805098,-17195.202666666664,-20929.076766316026,-24968.217991632402,-25967.65627156398,,1.أ.ب.1  النقـــــل,,1.A.b.1 Transport,-1501.6433131346291,-1588.6466538278694,-1492.1829465430774,-1752.772148518792,-1948.7695802852184,-1802.536577392747,-1858.9663342690826,-2049.784614654472,-2304.319246025669,-2275.8100264538293,-2316.154823510786,-2097.850595451344,-2459.6920760046564,-2565.933039283003,-2584.966756705091,-2662.880717753395,-2639.7443405427975,-2945.921212699304,-2817.184055966464,-3060.0703140126666,-3258.954424046984,-3658.017836348051,-3698.265007199776,-3737.8016789165044,-3950.4724424682195,-4360.940868141451,-4260.538856257579,-4221.117155608312,-4367.031596840059,-4849.35245780496,-4417.059091461795,-4199.979608961509,-4320.976554936072,-4897.34611353236,-4801.180632919832,-4291.82759172781,-4570.749412347877,-4852.925226098547,-4480.638915897997,-4632.119435620102,-3332.1562708061465,-3240.0077379753434,-2592.3665042308694,-3455.5899895027123,-3223.532939502219,-3012.437582949645,-2810.4661449302534,-3088.654172529584,-2880.0411553846775,-2897.8920779424566,-2830.3909841730106,-3189.9968257596834,-3044.8060188424856,-3483.331379183722,-3388.214816565021,-3744.0127572131673,-3282.7696698584455,-3465.7768663909574,-3448.189180575685,-3632.9806612692214,-3700.1612842293175,-3753.557945176587,-3871.118857652802,-3839.8441557463893,-3721.371303282392,-4577.256396885119,-4327.662225694981,-4568.912740804173,-5313.466666666666,-4608.010099649352,-5263.466666666666,-5744.133333333333,1.أ.ب.1  النقـــــل,,1.A.b.1 Transport,-5977.486004934101,-5875.10278661942,-5679.907006020813,-7435.722194058068,-6857.727999999999,-6949.16125057816,-6030.194186708493,-6130.572834277324,,1.أ.ب.1  النقـــــل,,,,,,,,,,,,,,,,,,,,
Credit,1577.0297947498213,1697.4644506676748,1844.381904510088,2034.5497573875732,2236.31557529344,2410.6184629442373,2381.641041131659,2691.459554302067,3154.8457767515383,3416.4948501768613,3376.731388022936,5209.508814914163,5092.478851698149,5335.759775066023,5612.049075328677,2393.8832983846373,3158.73062221944,5821.597333333333,6499.029900350648,8033.495931902394,10479.598386784792,,دائــن,,Credit,353.909376773136,412.23742550634665,520.538424100176,410.779224288016,421.3731854361227,517.7557449679359,474.70049728592534,430.552476820104,444.1693072737733,536.8181198339466,562.591747837816,490.9705824420373,476.8603924887866,569.4171951686853,582.110523910776,607.9274637251921,535.9876060757547,570.7100069404961,662.187750309608,641.7330996183787,517.0481146949841,589.965156510944,628.7911138415201,645.8366560842107,621.8466336685734,646.1523142738907,682.9264933715493,740.5341129880533,853.5397448933094,723.1729125556826,777.6239502753921,800.5091690271546,784.536864629376,754.5177707908562,800.6669981219947,1076.7732166346348,900.8726904357467,866.6016807822426,770.401690895528,838.8553259094188,1308.1315177403492,1330.9085746351307,1480.2462675174372,1090.2224550212454,977.4103316873279,1258.2356401356747,1548.9347367571972,1307.8981431179493,1294.1259763022347,1320.2687875714878,1554.7807264300613,1166.58428476224,1423.2143929716535,1449.2877594391816,1507.6845245298853,1231.8623983879575,979.1780175495361,412.72939616970933,457.99478056974664,543.9811040956453,616.234231056072,691.929064941208,806.7718275103974,1043.7954987117625,1198.298830702112,1288.878424044448,1555.4280028737119,1778.9920757130612,1479.9733333333331,1802.9232336839814,1781.8666666666666,1434.2666666666667,دائــن,,Credit,1829.3233812201254,2228.748334698584,2202.503338502861,1772.9208774808242,2434.192,2672.2501914625896,2584.7611082674935,2788.3950870547096,,دائــن,,,,,,,,,,,,,,,,,,,,
Debit,6758.513903377147,8032.709512692042,9504.43901111161,11028.6844488292,12509.788165039585,13873.538386165468,16734.679987642972,19484.52887677763,20988.268531819864,21727.825743292935,21913.164377987454,17829.629317429233,17227.56969160985,17134.080818325852,19272.414047133076,16223.599676478945,18323.412865024537,23016.8,27428.106666666674,33001.7139235348,36447.25465834877,,مديـن,,Debit,1855.5526899077654,2000.884079334216,2012.7213706432533,2163.551372806808,2370.142765721341,2320.292322360683,2333.666831555008,2480.337091474576,2748.4885532994426,2812.628146287776,2878.746571348602,2588.8211778933814,2936.552468493443,3135.3502344516883,3167.0772806158666,3270.8081814785864,3175.7319466185522,3516.6312196398,3479.371806276072,3701.8034136310453,3776.002538741968,4247.982992858994,4327.056121041296,4383.6383350007145,4572.319076136792,5007.093182415341,4943.4653496291285,4961.651268596365,5220.571341733369,5572.525370360643,5194.683041737187,5000.488777988664,5105.513419565448,5651.863884323216,5601.8476310418255,5368.600808362445,5471.622102783624,5719.526906880788,5251.0406067935255,5470.974761529521,4640.287788546496,4570.916312610474,4072.6127717483064,4545.812444523957,4200.943271189547,4270.6732230853195,4359.400881687451,4396.552315647534,4174.167131686912,4218.160865513944,4385.171710603072,4356.581110521923,4468.020411814139,4932.619138622904,4895.899341094906,4975.875155601125,4261.947687407981,3878.5062625606665,3906.183961145432,4176.961765364867,4316.39551528539,4445.487010117795,4677.8906851632,4883.639654458152,4919.670133984504,5866.1348209295675,5883.090228568693,6347.904816517234,6793.4400000000005,6410.933333333333,7045.333333333333,7178.4,مديـن,,Debit,7806.809386154227,8103.8511213180045,7882.410344523674,9208.643071538892,9291.92,9621.41144204075,8614.955294975987,8918.967921332032,,مديـن,,,,,,,,,,,,,,,,,,,,
1.A.b.2 Travel,-4457.6,-8198.938257173333,-14189.720885813333,-9218.8584,-14424.346266666666,-14422.957333333332,-8811.981466666668,-9591.066533333333,-10008.824133333334,-15879.386506666668,-9216.028211066667,-5562.0947258666665,-5496.032429730667,-2861.1088283114977,1291.6888020607012,-4807.486605755475,-8358.691093467283,9289.75716738726,12311.52645008093,13400.951663049764,13181.99131387453,,1.أ.ب.2  السفــــر,,1.A.b.2 Travel,-102.99285333333343,-2324.065066666667,-2619.5097839466666,-3152.3705532266667,-1898.0266666666669,-4336.539306666667,-5787.620343573333,-2167.5345689066667,-2816.6258666666668,-3530.7784,-2372.284533333333,-499.1696000000001,-5189.1228,-4686.641733333333,-2989.4525333333336,-1559.1292,-3592.5105333333336,-4799.764933333334,-3461.6892,-2568.9926666666665,-2294.5938666666666,-2255.0649333333336,-2762.3021333333336,-1500.0205333333336,-2811.6227999999996,-3071.2564,-2634.9732,-1073.2141333333334,-2361.418,-2031.2066666666665,-2924.4328000000005,-2691.766666666667,-4211.257973333334,-2402.2618666666667,-5191.946933333334,-4073.9197333333336,-1397.382568106667,-2928.2665594666664,-1634.4816804000002,-3255.897403093333,-1122.4066666666665,-1623.152433333333,-171.37007920000033,-2645.1655466666666,-948.7766666666668,-2494.1674666666663,508.24954666666696,-2561.3378430640005,-909.581032068,-693.5368754100879,624.6088400000003,-1882.5997608334103,-44.60032000000016,79.8268200000001,1282.1572,-25.69489793929873,-272.3345908093756,-1578.3514933334588,-1507.3379185125013,-1449.4626031001385,-1796.9920378726163,-2136.6392946666665,-2288.026421384,-2137.033339544,649.4014272906774,1840.8540068293228,3363.869227106648,3435.6325061606135,4272.8,6546.555970093584,-515.4243678053579,2007.5948477926966,1.أ.ب.2  السفــــر,,1.A.b.2 Travel,6391.503972218834,4663.516249093753,-341.3226942311652,2687.2541359683423,7123.310430828631,1450.6992227021315,807.8460267271865,3800.1356336165813,,1.أ.ب.2  السفــــر,,,,,,,,,,,,,,,,,,,,
Credit,4622.133333333333,4762.261742826666,5968.039114186667,5909.674933333334,5994.667066666666,6712,8459.357866666667,7432.228133333333,7651.4505333333345,8238.39016,10129.713122266667,11095.566274133333,12056.128106666667,13790.451733333333,16431.40056,4035.873853333333,3817.4007733333333,25203.292127869317,35988.94372181042,40962.894234566375,42628.34030986661,,دائــن,,Credit,2195.14048,750.6016,1083.55688272,732.9627801066667,1470.1333333333334,845.7273600000001,1206.7796564266669,2445.3987644266667,793.4408,1142.4216000000001,1528.6488,2445.1637333333333,931.7171999999999,1291.2516,1347.5608,2424.1374666666666,1080.5188,1303.4084,1597.1668,2730.906,1394.1848,2011.2024,2290.6472,2763.3234666666667,1516.4812,1715.4836,1523.4188,2676.8445333333334,1818.942,1766.7720000000002,1569.8312,2495.9053333333336,2307.1620266666664,1961.4748,1249.7864,2719.9669333333336,2654.577431893333,2188.4801072,3628.6143196,1658.0412635733333,2910.224,2780.9077333333335,3475.1634208,1929.27112,2563.701333333333,2800.1365333333333,4498.91312,2193.3771199999996,3188.1553599999997,3230.09856,4426.267040000001,2945.9307733333335,3905.171946666667,3881.82,4876.104,3768.3046133333332,3303.7807733333334,69.22010666666667,167.99850666666669,494.8744666666667,617.3252799999999,581.7798933333332,869.4634666666666,1748.8321333333333,4096.980350434677,5620.050297074657,8216.579002834647,7269.6824775253335,9764.533333333333,13049.393475197285,5248.676146026971,7926.340767252822,دائــن,,Credit,12002.437305552166,12690.182915760419,6679.170094959913,9591.103918293875,13164.565247284965,9922.134123192796,9012.754349452553,10528.8865899363,,دائــن,,,,,,,,,,,,,,,,,,,,
